classifier,language_model,rank,feature,type,importance,model_mean_value,distinctiveness_ratio
Original Classifier,ChatGPT-4o,1,s*,CHAR,0.017113617,0.0180476902633579,2.3975403703429143
Original Classifier,ChatGPT-4o,2,. -,CHAR,0.011878486,0.0202249058168868,1.9965320081759872
Original Classifier,ChatGPT-4o,3,let me know if you,WORD,0.008964052,0.0463063130167036,8.758927895603982
Original Classifier,ChatGPT-4o,4,know if you,WORD,0.0073783714,0.0463063130167036,8.758927895603982
Original Classifier,ChatGPT-4o,5,let me know,WORD,0.0056339144,0.0672468783714542,7.789147133931556
Original Classifier,ChatGPT-4o,6,- **,CHAR,0.00558908,0.032325380262506,2.3821971817882015
Original Classifier,ChatGPT-4o,7,# ,CHAR,0.0053932844,0.0246792864899789,3.138132968493015
Original Classifier,ChatGPT-4o,8,--,CHAR,0.0046864697,0.0922772084838332,5.038346656150761
Original Classifier,ChatGPT-4o,9,in dt nn cc,POS,0.0033057006,0.0136714225769558,1.2300111029779646
Original Classifier,ChatGPT-4o,10,f ,CHAR,0.002957545,0.0324462454984847,1.2129795892863888
Original Classifier,Claude-3.5-Haiku,1,atio,CHAR,0.013306147,0.0293008166185662,1.4390473037104052
Original Classifier,Claude-3.5-Haiku,2,tio,CHAR,0.011806042,0.0471208298341686,1.2822388688732216
Original Classifier,Claude-3.5-Haiku,3,pro,CHAR,0.0064669745,0.0252941601701117,1.5056875580737803
Original Classifier,Claude-3.5-Haiku,4,pr,CHAR,0.004910103,0.0389747283356664,1.3509485480269094
Original Classifier,Claude-3.5-Haiku,5,"
-",CHAR,0.00488115,0.0746507952283514,3.1147224815521364
Original Classifier,Claude-3.5-Haiku,6,"
- ",CHAR,0.0043549584,0.0746913663743066,3.1221049156814864
Original Classifier,Claude-3.5-Haiku,7, di,CHAR,0.0042880834,0.0166933436567649,1.36486524618097
Original Classifier,Claude-3.5-Haiku,8,elaborate on any,WORD,0.0041686944,0.0199348174475287,27.85489113830687
Original Classifier,Claude-3.5-Haiku,9,like me to elaborate,WORD,0.004078053,0.0228998456543705,33.09186024121249
Original Classifier,Claude-3.5-Haiku,10,- ,CHAR,0.003927789,0.069143329394248,1.3627726097989197
Original Classifier,DeepSeek-R1,1,* **,CHAR,0.0420762,0.0395426126343584,14.238551155337149
Original Classifier,DeepSeek-R1,2,** ,CHAR,0.019922683,0.0749350558372321,2.6252071022478476
Original Classifier,DeepSeek-R1,3,:** ,CHAR,0.018896759,0.0624305918974434,7.276715461145404
Original Classifier,DeepSeek-R1,4,nn jj nnp nnp nn,POS,0.01306827,0.0157705937188095,2.2850155720737257
Original Classifier,DeepSeek-R1,5,**,CHAR,0.011777282,0.1888624973833047,2.0243631811643605
Original Classifier,DeepSeek-R1,6, *,CHAR,0.011159036,0.1273964630864598,2.521698313182744
Original Classifier,DeepSeek-R1,7,* *,CHAR,0.008087836,0.0534437788511866,13.598389739650454
Original Classifier,DeepSeek-R1,8,. **,CHAR,0.0072001326,0.0337586621224771,2.899597020956437
Original Classifier,DeepSeek-R1,9,* ,CHAR,0.0060899113,0.1139975667069609,3.3983679870245216
Original Classifier,DeepSeek-R1,10,nn jj nnp,POS,0.003975614,0.0515186156355752,1.806808473325806
Markdown-Free Classifier,ChatGPT-4o,1,like me to,WORD,0.012160866,0.0466808160369293,8.382227951296363
Markdown-Free Classifier,ChatGPT-4o,2,like me to elaborate,WORD,0.010595062,0.0463072174355117,8.75833915289663
Markdown-Free Classifier,ChatGPT-4o,3,language models llms,WORD,0.009355563,0.0463072174355117,8.654197685306492
Markdown-Free Classifier,ChatGPT-4o,4,| ,CHAR,0.006278662,0.0287968918845093,4.874986214785565
Markdown-Free Classifier,ChatGPT-4o,5,let me know your,WORD,0.005282453,0.067583363538553,7.733295426061389
Markdown-Free Classifier,ChatGPT-4o,6,## ,CHAR,0.0047358535,0.0606603177090397,3.653990290954509
Markdown-Free Classifier,ChatGPT-4o,7,would you like me to,WORD,0.004702292,0.0593430025877034,2.4304453788015037
Markdown-Free Classifier,ChatGPT-4o,8, wit,CHAR,0.004338507,0.0203588105640276,4.33698555303498
Markdown-Free Classifier,ChatGPT-4o,9, wi,CHAR,0.0036655732,0.0285240320251565,4.876195545945775
Markdown-Free Classifier,ChatGPT-4o,10,cc nnp nnp nnp,POS,0.0034795841,0.0158848798391952,1.370043368208951
Markdown-Free Classifier,Claude-3.5-Haiku,1,you like this,WORD,0.008776291,0.0228349745802902,32.99811705405036
Markdown-Free Classifier,Claude-3.5-Haiku,2,me to help you,WORD,0.00630777,0.0228349745802902,32.99811705405036
Markdown-Free Classifier,Claude-3.5-Haiku,3,ll do my,WORD,0.005230158,0.0228349745802902,32.99811705405036
Markdown-Free Classifier,Claude-3.5-Haiku,4,ll do my best,WORD,0.004365949,0.0228349745802902,32.99811705405036
Markdown-Free Classifier,Claude-3.5-Haiku,5,tin,CHAR,0.0038113948,0.0489800534235199,1.2405268108640968
Markdown-Free Classifier,Claude-3.5-Haiku,6,nn cc jj nnp,POS,0.0032340996,0.0144798833468758,1.3068717590063808
Markdown-Free Classifier,Claude-3.5-Haiku,7,nti,CHAR,0.0030657714,0.0142783160494002,1.4021000182491423
Markdown-Free Classifier,Claude-3.5-Haiku,8,al,CHAR,0.0028841756,0.0392135538330158,1.3225980910300634
Markdown-Free Classifier,Claude-3.5-Haiku,9,nn vbz in,POS,0.0026499256,0.0317021199921056,1.7947092843972037
Markdown-Free Classifier,Claude-3.5-Haiku,10,nns nnp nnp,POS,0.0025812087,0.031000664202576,2.589787988257599
Markdown-Free Classifier,DeepSeek-R1,1,"
- ",CHAR,0.007003601,0.053050238571658,2.4151156812648313
Markdown-Free Classifier,DeepSeek-R1,2, you,CHAR,0.0057385904,0.0249061331490822,2.041188300366296
Markdown-Free Classifier,DeepSeek-R1,3,* **,CHAR,0.0055970554,0.0634848922433039,2.540726018721744
Markdown-Free Classifier,DeepSeek-R1,4,rt,CHAR,0.0047216048,0.0181891581627172,2.804431821463349
Markdown-Free Classifier,DeepSeek-R1,5,nnp in jj,POS,0.0043347743,0.0202892230327576,1.4588217682414248
Markdown-Free Classifier,DeepSeek-R1,6,in dt nnp,POS,0.0039163115,0.0134505872509319,1.3209443370783145
Markdown-Free Classifier,DeepSeek-R1,7,) ,CHAR,0.0038066707,0.0420336634909188,1.935879476452507
Markdown-Free Classifier,DeepSeek-R1,8,nns in dt nn,POS,0.0037756015,0.0290374990619899,2.199536717582834
Markdown-Free Classifier,DeepSeek-R1,9,in dt jj,POS,0.0036775367,0.0339204663647434,1.3436990873908672
Markdown-Free Classifier,DeepSeek-R1,10, y,CHAR,0.0032893724,0.0247316670309605,1.9198535054983288
